Regions/Towns,Regions/Towns,,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,,Regions/LGA,Regions/LGA,Regions/LGA,,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy
SA Government Region,Town,,SA Government Region,Suburb,Postcode,,SA Government Region,Short LGA name,Full LGA name,,SA Government Region,GCC name 2016,GCC code 2016,SA4 name 2016,SA4 code 2016,SA3 name 2016,SA3 Code 2016,SA2 name 2016,SA2 code 2016,SA1 code 2016,,SA Government Region,SA4 code 2011,SA3 name 2011,SA3 Code 2011,SA2 name 2011,SA2 code 2011,SA1 code 2011,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code
Adelaide Hills,Uraidla,,Adelaide Hills,HARROGATE,5244,,Fleurieu and Kangaroo Island,Yankalilla,The District Council of Yankalilla,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100410,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100410,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060307,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060308
Adelaide Hills,Wistow,,Adelaide Hills,HAY VALLEY,5252,,Limestone Coast,Grant,The District Council of Grant,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100411,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100411,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060308,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060309
Adelaide Hills,Woodside,,Adelaide Hills,HEATHFIELD,5153,,Limestone Coast,Kingston,Kingston District Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100412,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100412,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060309,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061001
"Barossa, Light and Lower North",Angaston,,Adelaide Hills,HORSNELL GULLY,5141,,Limestone Coast,Mount Gambier,City of Mount Gambier,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100413,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100413,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061001,,Adelaide Hills,Mount Barker (DC) Bal,410154554,4061002
"Barossa, Light and Lower North",Bethany,,Adelaide Hills,HOUGHTON,5131,,Limestone Coast,Naracoorte Lucindale,Naracoorte Lucindale Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100414,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100414,,Adelaide Hills,Mount Barker (DC) Bal,410154554,4061002,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061003
"Barossa, Light and Lower North",Dublin,,Adelaide Hills,INGLEWOOD,5133,,Limestone Coast,Robe,District Council of Robe,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100415,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100415,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061003,,Adelaide Hills,Mount Barker (DC) Bal,410154554,4061004
"Barossa, Light and Lower North",Eden Valley,,Adelaide Hills,IRONBANK,5153,,Limestone Coast,Tatiara,Tatiara District Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100416,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100416,,Adelaide Hills,Mount Barker (DC) Bal,410154554,4061004,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061005
"Barossa, Light and Lower North",Freeling,,Adelaide Hills,JUPITER CREEK,5153,,Limestone Coast,Wattle Range,Wattle Range Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100417,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100417,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061005,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061006
"Barossa, Light and Lower North",Gawler,,Adelaide Hills,KANMANTOO,5252,,Murray and Mallee,Berri Barmera,The Berri Barmera Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100418,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100418,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061006,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061007
"Barossa, Light and Lower North",Greenock,,Adelaide Hills,KENTON VALLEY,5233,,Murray and Mallee,Karoonda East Murray,The District Council of Karoonda East Murray,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100419,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100419,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061007,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061008
"Barossa, Light and Lower North",Hamilton,,Adelaide Hills,KERSBROOK,5231,,Murray and Mallee,Loxton Waikerie,The District Council of Loxton Waikerie,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100420,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100420,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061008,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061009
"Barossa, Light and Lower North",Kapunda,,Adelaide Hills,LENSWOOD,5240,,Murray and Mallee,Mid Murray,Mid Murray Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100421,,Adelaide Hills,401,Adelaide Hills,40102,Aldgate - Stirling,401021004,40102100421,,Adelaide Hills,Mount Barker (DC) - Central,410154551,4061009,,Adelaide Hills,Mount Barker (DC) Bal,410154554,4061010
